iter	Passed	Remaining
0	48	4805
1	92	4541
2	138	4475
3	156	3747
4	194	3689
5	217	3402
6	255	3398
7	292	3365
8	330	3341
9	356	3208
10	370	2995
11	409	3000
12	447	2995
13	484	2978
14	500	2837
15	537	2819
16	574	2806
17	614	2797
18	627	2676
19	664	2659
20	702	2643
21	738	2618
22	775	2596
23	786	2489
24	823	2471
25	860	2450
26	899	2431
27	936	2408
28	973	2384
29	1011	2359
30	1047	2331
31	1067	2269
32	1106	2246
33	1143	2219
34	1181	2195
35	1195	2124
36	1232	2098
37	1269	2070
38	1304	2040
39	1324	1987
40	1360	1957
41	1376	1901
42	1415	1876
43	1452	1848
44	1489	1820
45	1526	1791
46	1564	1764
47	1602	1735
48	1638	1705
49	1681	1681
50	1717	1650
51	1755	1620
52	1774	1573
53	1811	1543
54	1849	1513
55	1887	1482
56	1924	1451
57	1960	1419
58	1996	1387
59	2033	1355
60	2069	1323
61	2108	1292
62	2144	1259
63	2180	1226
64	2218	1194
65	2255	1162
66	2276	1121
67	2287	1076
68	2324	1044
69	2362	1012
70	2398	979
71	2435	947
72	2473	914
73	2511	882
74	2548	849
75	2584	816
76	2624	783
77	2661	750
78	2700	717
79	2736	684
80	2776	651
81	2812	617
82	2849	583
83	2885	549
84	2921	515
85	2958	481
86	2995	447
87	3034	413
88	3070	379
89	3106	345
90	3143	310
91	3180	276
92	3217	242
93	3253	207
94	3291	173
95	3328	138
96	3367	104
97	3403	69
98	3440	34
99	3477	0
