iter	Passed	Remaining
0	15	15174
1	29	14546
2	41	13716
3	53	13391
4	66	13281
5	79	13215
6	103	14616
7	118	14727
8	132	14614
9	145	14433
10	160	14387
11	172	14224
12	185	14065
13	197	13933
14	211	13868
15	224	13783
16	238	13780
17	250	13667
18	263	13586
19	276	13556
20	289	13490
21	303	13470
22	315	13411
23	328	13359
24	346	13519
25	361	13557
26	374	13494
27	386	13426
28	398	13352
29	411	13317
30	423	13235
31	435	13172
32	444	13036
33	455	12934
34	463	12781
35	474	12703
36	491	12789
37	509	12898
38	541	13339
39	557	13387
40	574	13426
41	604	13787
42	622	13847
43	639	13896
44	657	13956
45	674	13991
46	691	14030
47	708	14050
48	727	14119
49	743	14126
50	761	14166
51	776	14158
52	791	14142
53	805	14118
54	819	14072
55	831	14018
56	851	14080
57	863	14030
58	875	13956
59	888	13925
60	902	13887
61	915	13848
62	928	13809
63	941	13770
64	956	13752
65	970	13729
66	985	13724
67	998	13692
68	1014	13689
69	1026	13642
70	1043	13654
71	1056	13614
72	1070	13593
73	1092	13676
74	1114	13739
75	1126	13691
76	1137	13632
77	1151	13606
78	1164	13579
79	1177	13545
80	1190	13509
81	1204	13485
82	1221	13493
83	1235	13467
84	1250	13464
85	1264	13444
86	1280	13434
87	1292	13399
88	1307	13380
89	1319	13339
90	1345	13439
91	1359	13421
92	1375	13419
93	1391	13416
94	1406	13394
95	1418	13359
96	1430	13321
97	1445	13304
98	1460	13289
99	1475	13279
100	1492	13281
101	1507	13275
102	1525	13281
103	1541	13281
104	1558	13282
105	1574	13280
106	1599	13349
107	1613	13324
108	1627	13304
109	1641	13279
110	1655	13262
111	1670	13245
112	1684	13225
113	1697	13190
114	1710	13164
115	1723	13132
116	1737	13110
117	1752	13097
118	1764	13061
119	1778	13038
120	1790	13009
121	1804	12989
122	1817	12957
123	1845	13035
124	1861	13028
125	1876	13018
126	1890	12993
127	1903	12969
128	1917	12943
129	1928	12907
130	1945	12907
131	1958	12879
132	1971	12851
133	1983	12821
134	1998	12803
135	2009	12768
136	2022	12739
137	2035	12715
138	2049	12694
139	2064	12683
140	2086	12712
141	2106	12726
142	2121	12715
143	2138	12712
144	2153	12699
145	2177	12735
146	2197	12749
147	2211	12732
148	2226	12716
149	2240	12695
150	2255	12681
151	2269	12663
152	2284	12645
153	2300	12636
154	2314	12618
155	2339	12657
156	2425	13022
157	2438	12992
158	2457	12998
159	2469	12966
160	2482	12935
161	2491	12888
162	2502	12848
163	2513	12810
164	2522	12764
165	2532	12724
166	2542	12680
167	2552	12640
